transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,address,postcode,state,country,gender,job_title,job_industry_category,wealth_segment,Name,Month
36,92,3356,2017-07-07,0.0,Approved,WeareA2B,Standard,Medium,small,1415.01,73 Burrows Court,3121.0,Victoria,Australia,Male,Safety Technician II,Financial Services,Mass Customer,Dill Bampford,7
37,14,1040,2017-01-09,0.0,Approved,Solex,Standard,High,large,1842.92,27135 Melvin Plaza,4556.0,Queensland,Australia,Female,Food Chemist,Health,High Net Worth,Jacenta Wedlock,1
38,2,2916,2017-12-06,0.0,Approved,Solex,Standard,Medium,High,71.49,2 Blue Bill Park Lane,4220.0,Queensland,Australia,Male,Product Engineer,Manufacturing,Affluent Customer,Lauren Adolfson,12
39,12,427,2017-09-12,0.0,Approved,WeareA2B,Standard,Medium,High,1231.15,1 Carey Pass,2065.0,New South Wales,Australia,Male,Assistant Media Planner,Entertainment,Mass Customer,Giusto Torbett,9
40,0,2448,2017-11-28,1.0,Approved,Norco Bicycles,Road,Medium,High,544.05,11 Dunning Pass,2219.0,New South Wales,Australia,Female,Structural Analysis Engineer,Property,High Net Worth,Lorri Iston,11
41,44,2570,2017-05-08,1.0,Approved,WeareA2B,Standard,Medium,High,1769.64,457 Merry Pass,4812.0,Queensland,Australia,Male,Professor,Financial Services,Mass Customer,Hirsch Peele,5
42,79,3398,2017-05-14,0.0,Approved,Solex,Touring,Medium,large,2083.94,375 Luster Parkway,2147.0,New South Wales,Australia,Male,Unknown,Unknown,High Net Worth,Alberik Looks,5
43,76,488,2017-03-17,0.0,Cancelled,WeareA2B,Standard,Low,High,642.31,4671 Buell Trail,3564.0,Victoria,Australia,Female,Help Desk Operator,Property,Mass Customer,Domini Ghelerdini,3
44,46,165,2017-12-22,0.0,Approved,Solex,Standard,Low,High,1289.85,22371 Miller Trail,2032.0,New South Wales,Australia,Male,Administrative Officer,Argiculture,Mass Customer,Aldon Roelofs,12
45,55,2787,2017-06-07,1.0,Approved,Trek Bicycles,Road,Medium,large,1894.19,3 Cordelia Place,3018.0,Victoria,Australia,Female,Marketing Assistant,Unknown,Affluent Customer,Teressa Tague,6
46,66,3053,2017-06-20,0.0,Approved,Solex,Standard,Medium,High,1163.89,274 Ludington Trail,2428.0,New South Wales,Australia,Female,Account Coordinator,Retail,High Net Worth,Susie ,6
47,35,475,2017-05-07,1.0,Approved,Trek Bicycles,Standard,Low,High,1057.51,781 Dorton Avenue,3012.0,Victoria,Australia,Male,Nuclear Power Engineer,Manufacturing,Affluent Customer,Vernor ,5
48,81,1305,2017-06-10,1.0,Approved,Solex,Standard,Medium,High,1151.96,3 School Place,4124.0,Queensland,Australia,Male,Executive Secretary,Financial Services,High Net Worth,Averil Gentiry,6
49,86,1251,2017-06-17,0.0,Approved,OHM Cycles,Standard,Medium,High,235.63,6 Lerdahl Plaza,4519.0,Queensland,Australia,Male,Desktop Support Technician,Property,Mass Customer,Codie Arnecke,6
50,32,3103,2017-05-10,0.0,Approved,Giant Bicycles,Standard,Medium,High,642.7,32304 Larry Road,4014.0,Queensland,Australia,Female,Safety Technician II,Retail,Mass Customer,Shaylah Hatchell,5
51,77,3108,2017-03-24,0.0,Approved,Norco Bicycles,Road,Medium,large,1240.31,1742 Scott Center,4670.0,Queensland,Australia,Male,Accounting Assistant III,Entertainment,Mass Customer,Trip Ahmed,3
52,96,857,2017-11-27,0.0,Approved,Giant Bicycles,Standard,Medium,large,1635.3,18 Parkside Plaza,4122.0,Queensland,Australia,Female,General Manager,Unknown,High Net Worth,Theo ,11
53,6,3455,2017-12-21,1.0,Approved,OHM Cycles,Standard,High,High,227.88,757 Debs Avenue,4670.0,Queensland,Australia,Male,Administrative Officer,Unknown,Mass Customer,Coop Skey,12
54,27,2549,2017-02-09,1.0,Approved,Trek Bicycles,Standard,Medium,High,499.53,01 Burning Wood Terrace,2323.0,New South Wales,Australia,Male,Pharmacist,Health,Mass Customer,Mike Geggus,2
55,0,3140,2017-09-18,0.0,Approved,Norco Bicycles,Standard,Low,High,363.01,3 Canary Center,2040.0,New South Wales,Australia,Female,Legal Assistant,Manufacturing,High Net Worth,Britt Muddimer,9
56,47,3406,2017-11-14,0.0,Approved,Trek Bicycles,Road,Low,small,1720.7,5 Northland Plaza,2096.0,New South Wales,Australia,Female,Business Systems Development Analyst,IT,Mass Customer,Lucy Lackmann,11
57,94,2294,2017-08-30,1.0,Approved,Giant Bicycles,Standard,Medium,large,1635.3,7 Melrose Circle,4017.0,Queensland,Australia,Male,Associate Professor,Manufacturing,Mass Customer,Skipton Cordie,8
58,91,1031,2017-11-14,0.0,Approved,Solex,Standard,Medium,High,100.35,65634 Del Mar Crossing,4053.0,Queensland,Australia,Male,Junior Executive,Manufacturing,Mass Customer,Roi Ogden,11
59,93,993,2017-02-15,1.0,Approved,OHM Cycles,Standard,High,High,1458.17,84019 Porter Trail,2871.0,New South Wales,Australia,Female,Account Coordinator,Argiculture,High Net Worth,Reine Semken,2
60,60,3473,2017-12-18,0.0,Approved,Giant Bicycles,Standard,High,small,1977.36,7279 Steensland Circle,3803.0,Victoria,Australia,Unknown,Analog Circuit Design manager,IT,Mass Customer,Sanderson Alloway,12
61,0,1839,2017-02-24,0.0,Approved,OHM Cycles,Road,High,large,12.01,734 South Court,4152.0,Queensland,Australia,Female,Internal Auditor,Entertainment,High Net Worth,Faythe Rance,2
62,33,1824,2017-12-18,1.0,Approved,Giant Bicycles,Standard,Medium,small,1311.44,2364 Dovetail Way,3048.0,Victoria,Australia,Female,Safety Technician III,Manufacturing,Affluent Customer,Robbie Yakubovics,12
63,35,368,2017-12-17,0.0,Approved,Giant Bicycles,Standard,Medium,High,1403.5,382 Maywood Parkway,4127.0,Queensland,Australia,Female,Unknown,Financial Services,High Net Worth,Lacee Roan,12
64,0,2000,2017-07-08,0.0,Approved,Trek Bicycles,Standard,Medium,High,499.53,59170 Westridge Junction,2147.0,New South Wales,Australia,Unknown,Assistant Professor,IT,High Net Worth,Kain Rene,7
65,28,825,2017-05-16,1.0,Approved,Norco Bicycles,Standard,Medium,small,1216.14,8640 Village Junction,2066.0,New South Wales,Australia,Male,Computer Systems Analyst IV,Unknown,Affluent Customer,Willis Whyler,5
66,86,3315,2017-02-23,1.0,Approved,OHM Cycles,Standard,Medium,High,235.63,6 North Court,3862.0,Victoria,Australia,Female,Account Executive,Property,Mass Customer,Ninnette Pandey,2
67,2,75,2017-07-03,1.0,Approved,Solex,Standard,Medium,High,71.49,4763 Merchant Avenue,2756.0,New South Wales,Australia,Female,VP Product Management,Property,Mass Customer,Dollie Sealy,7
68,4,1498,2017-09-30,1.0,Approved,Giant Bicycles,Standard,High,High,1129.13,40 Dexter Crossing,2250.0,New South Wales,Australia,Female,Nurse,Unknown,Affluent Customer,Janot McGougan,9
69,38,1612,2017-10-21,1.0,Approved,Trek Bicycles,Standard,Medium,large,2091.47,84504 Doe Crossing Road,2441.0,New South Wales,Australia,Male,Community Outreach Specialist,Financial Services,High Net Worth,Wendel Headland,10
70,27,2192,2017-05-06,1.0,Approved,Trek Bicycles,Standard,Medium,High,499.53,3 Thierer Plaza,4815.0,Queensland,Australia,Male,Staff Accountant II,Unknown,Mass Customer,Hubie Leipold,5
71,54,419,2017-01-03,0.0,Approved,WeareA2B,Standard,Medium,High,1292.84,7526 Artisan Parkway,4223.0,Queensland,Australia,Female,VP Marketing,Manufacturing,Affluent Customer,Chrissie Bernardini,1
72,77,3307,2017-05-09,1.0,Approved,WeareA2B,Standard,Medium,High,1769.64,1172 Mesta Center,4740.0,Queensland,Australia,Female,Analyst Programmer,Health,High Net Worth,Portia Thirlwall,5
73,22,2430,2017-07-23,0.0,Approved,WeareA2B,Standard,Medium,High,60.34,57769 Gulseth Lane,2040.0,New South Wales,Australia,Male,Quality Engineer,Unknown,Mass Customer,Humbert Dikles,7
74,56,1506,2017-01-21,1.0,Approved,OHM Cycles,Standard,Medium,High,183.86,6 Canary Plaza,2223.0,New South Wales,Australia,Male,Unknown,Property,Mass Customer,Andonis Cochrane,1
75,58,1346,2017-06-20,0.0,Approved,OHM Cycles,Standard,Medium,High,912.52,5 Springview Terrace,3620.0,Victoria,Australia,Male,Administrative Assistant IV,Telecommunications,Mass Customer,Woody Dowthwaite,6
76,22,927,2017-03-10,0.0,Approved,WeareA2B,Standard,Medium,High,60.34,2309 Gulseth Way,3199.0,Victoria,Australia,Male,Cost Accountant,Financial Services,Mass Customer,Jarret ,3
77,50,763,2017-06-02,0.0,Approved,WeareA2B,Standard,Medium,small,175.89,08 Vidon Center,2143.0,New South Wales,Australia,Female,Computer Systems Analyst IV,Manufacturing,Affluent Customer,Benita Cuffley,6
78,80,2397,2017-11-07,0.0,Approved,OHM Cycles,Touring,Low,High,1073.07,44083 Village Court,2142.0,New South Wales,Australia,Male,Analyst Programmer,Retail,Affluent Customer,Cassius Birchenough,11
79,87,102,2017-09-12,1.0,Approved,Giant Bicycles,Standard,High,High,1179.0,55850 Butterfield Road,2168.0,New South Wales,Australia,Male,Quality Control Specialist,Manufacturing,Affluent Customer,Langsdon Tranfield,9
80,15,2884,2017-12-16,0.0,Approved,Norco Bicycles,Standard,Low,High,958.74,8369 Golf Court,2777.0,New South Wales,Australia,Female,Assistant Professor,Unknown,Mass Customer,Karola Conneely,12
81,84,759,2017-10-07,1.0,Approved,Giant Bicycles,Road,Medium,High,792.9,4 Vahlen Junction,2227.0,New South Wales,Australia,Male,Clinical Specialist,Health,High Net Worth,Mitchel Schimek,10
82,21,773,2017-04-27,1.0,Approved,Solex,Standard,Medium,large,1071.23,88 Bay Drive,4305.0,Queensland,Australia,Male,Unknown,Financial Services,Affluent Customer,Robbie Handaside,4
83,0,3398,2017-04-01,1.0,Approved,OHM Cycles,Standard,Medium,High,235.63,375 Luster Parkway,2147.0,New South Wales,Australia,Male,Unknown,Unknown,High Net Worth,Alberik Looks,4
84,33,3297,2017-11-02,1.0,Approved,Giant Bicycles,Standard,Medium,small,1311.44,50 Declaration Junction,3213.0,Victoria,Australia,Male,Product Engineer,Manufacturing,Mass Customer,Addy Moukes,11
85,84,2434,2017-02-13,1.0,Approved,Trek Bicycles,Road,Medium,High,290.62,1966 Glendale Avenue,4207.0,Queensland,Australia,Male,Environmental Specialist,Unknown,Affluent Customer,Lenci Soars,2
86,1,1861,2017-07-19,0.0,Approved,Giant Bicycles,Standard,Medium,High,1403.5,7939 Toban Crossing,2770.0,New South Wales,Australia,Female,Geological Engineer,Manufacturing,Mass Customer,Charlena Muzzi,7
87,27,1233,2017-05-23,0.0,Approved,Trek Bicycles,Standard,Medium,High,499.53,26 Lotheville Court,2085.0,New South Wales,Australia,Female,Unknown,Retail,Affluent Customer,Keeley Hawsby,5
88,31,1390,2017-08-06,0.0,Approved,WeareA2B,Standard,Medium,High,752.64,02701 Talmadge Junction,3082.0,Victoria,Australia,Female,Accounting Assistant I,Retail,High Net Worth,Christyna Feldberg,8
89,0,2682,2017-04-04,1.0,Approved,OHM Cycles,Road,High,large,12.01,446 Warrior Pass,4740.0,Queensland,Australia,Female,Accountant III,Manufacturing,High Net Worth,Annamarie Bouzan,4
90,62,439,2017-08-15,1.0,Approved,Solex,Standard,Medium,High,478.16,8788 Armistice Trail,3806.0,Victoria,Australia,Female,GIS Technical Architect,Unknown,Affluent Customer,Lida Wych,8
91,17,1579,2017-04-15,1.0,Approved,Solex,Standard,High,High,1024.66,82 Hanover Avenue,2101.0,New South Wales,Australia,Female,Desktop Support Technician,Financial Services,Affluent Customer,Madelaine Siegertsz,4
92,73,2984,2017-07-25,1.0,Approved,Solex,Standard,Medium,High,1945.43,0 Hayes Hill,2106.0,New South Wales,Australia,Female,Payment Adjustment Coordinator,Manufacturing,Mass Customer,Frances Mishaw,7
93,33,3470,2017-11-28,1.0,Approved,Giant Bicycles,Standard,Medium,small,1311.44,176 Sutteridge Alley,3121.0,Victoria,Australia,Female,Recruiting Manager,Health,Affluent Customer,Catherina Ricca,11
94,86,1,2017-12-23,0.0,Approved,OHM Cycles,Standard,Medium,High,235.63,060 Morning Avenue,2016.0,New South Wales,Australia,Female,Executive Secretary,Health,Mass Customer,Laraine Medendorp,12
95,45,757,2017-02-26,0.0,Approved,Solex,Standard,Medium,High,441.49,195 Knutson Place,4019.0,Queensland,Australia,Male,Environmental Tech,Financial Services,Mass Customer,Kinsley Klimus,2
96,1,1778,2017-02-21,0.0,Approved,Giant Bicycles,Standard,Medium,High,1403.5,8 Vermont Pass,3930.0,Victoria,Australia,Female,Staff Accountant III,Unknown,Mass Customer,Emera Margrem,2
97,80,211,2017-05-31,1.0,Approved,OHM Cycles,Touring,Low,High,1073.07,78 Rockefeller Park,2159.0,New South Wales,Australia,Female,VP Marketing,Manufacturing,Mass Customer,Beitris ,5
99,95,32,2017-03-26,0.0,Approved,Giant Bicycles,Standard,Medium,large,569.56,2951 Petterle Place,2756.0,New South Wales,Australia,Female,Legal Assistant,Manufacturing,Affluent Customer,Marion Vanichkin,3
100,0,119,2017-07-31,0.0,Approved,Solex,Standard,Medium,High,478.16,5814 Bunker Hill Street,3070.0,Victoria,Australia,Male,Associate Professor,Unknown,High Net Worth,Willey Chastanet,7
101,18,2347,2017-07-27,0.0,Approved,Norco Bicycles,Standard,High,High,1148.64,1081 Laurel Park,2049.0,New South Wales,Australia,Female,Programmer Analyst I,Unknown,High Net Worth,L;urette Annott,7
102,4,2353,2017-04-14,0.0,Approved,Giant Bicycles,Standard,High,High,1129.13,22774 Pennsylvania Hill,2262.0,New South Wales,Australia,Male,Health Coach IV,Health,Affluent Customer,Lyn Luquet,4
103,33,788,2017-11-12,0.0,Approved,Giant Bicycles,Standard,Medium,small,1311.44,00 Mockingbird Junction,2141.0,New South Wales,Australia,Male,Social Worker,Health,Mass Customer,Gregg Townsend,11
104,78,1468,2017-09-12,0.0,Approved,Giant Bicycles,Standard,Medium,large,1765.3,45725 Hagan Pass,2519.0,New South Wales,Australia,Female,Financial Advisor,Financial Services,Mass Customer,Adaline Hayles,9
105,89,821,2017-10-26,0.0,Approved,WeareA2B,Touring,Medium,large,1362.99,59000 American Center,2530.0,New South Wales,Australia,Male,Financial Analyst,Financial Services,Mass Customer,Gregoor Aronovitz,10
106,70,2489,2017-02-15,0.0,Approved,Trek Bicycles,Standard,High,High,495.72,9 Spaight Place,2102.0,New South Wales,Australia,Female,Speech Pathologist,Retail,Mass Customer,Emma Mates,2
107,79,2710,2017-12-22,0.0,Approved,Norco Bicycles,Standard,Medium,High,1555.58,86445 Bonner Junction,4660.0,Queensland,Australia,Male,Unknown,Retail,Mass Customer,Flory Standering,12
108,26,947,2017-10-11,1.0,Approved,WeareA2B,Standard,Medium,High,1992.93,9 Clyde Gallagher Plaza,3021.0,Victoria,Australia,Female,Pharmacist,Health,Mass Customer,Hyacinth Naldrett,10
109,39,1335,2017-03-27,1.0,Approved,Giant Bicycles,Standard,Medium,large,1812.75,4 Sycamore Pass,3977.0,Victoria,Australia,Female,Unknown,Entertainment,Mass Customer,Sibylla Marlon,3
110,36,1076,2017-11-04,0.0,Approved,Solex,Standard,Low,High,945.04,44 Ramsey Road,2515.0,New South Wales,Australia,Male,Pharmacist,Health,Affluent Customer,Siegfried Trattles,11
111,0,3320,2017-06-11,1.0,Approved,OHM Cycles,Standard,Low,High,71.16,88 Michigan Junction,3109.0,Victoria,Australia,Female,Nuclear Power Engineer,Manufacturing,High Net Worth,Anabella Mealham,6
112,84,779,2017-10-09,0.0,Approved,Giant Bicycles,Road,Medium,High,792.9,2570 Wayridge Park,2093.0,New South Wales,Australia,Female,Staff Accountant III,Health,High Net Worth,Maddy Larrat,10
113,98,3296,2017-06-07,1.0,Approved,Trek Bicycles,Standard,High,High,358.39,85 Carioca Drive,2154.0,New South Wales,Australia,Female,Quality Engineer,Financial Services,Affluent Customer,Leontyne Jackett,6
114,75,455,2017-10-24,1.0,Approved,Giant Bicycles,Touring,Medium,large,1873.97,6 Mariners Cove Center,2233.0,New South Wales,Australia,Male,Civil Engineer,Manufacturing,Mass Customer,Mile Dionisii,10
115,76,1779,2017-05-01,0.0,Approved,WeareA2B,Standard,Low,High,642.31,6238 Hanover Crossing,3141.0,Victoria,Australia,Male,Information Systems Manager,Argiculture,Affluent Customer,Krishnah Firmage,5
116,72,2703,2017-11-21,1.0,Approved,Norco Bicycles,Standard,Medium,High,360.4,4826 Crowley Park,2779.0,New South Wales,Australia,Female,Unknown,Manufacturing,Affluent Customer,Peria Amis,11
117,42,806,2017-03-24,0.0,Approved,OHM Cycles,Road,Medium,small,1810.0,018 Erie Point,2767.0,New South Wales,Australia,Male,Sales Representative,Retail,Mass Customer,Carter Kaesmakers,3
119,64,1591,2017-02-20,0.0,Approved,Trek Bicycles,Standard,Medium,large,1469.44,54 Veith Drive,2073.0,New South Wales,Australia,Male,Operator,Manufacturing,Mass Customer,Fonz Jankin,2
120,0,678,2017-06-16,0.0,Approved,Trek Bicycles,Standard,High,High,495.72,96910 Sugar Point,4352.0,Queensland,Australia,Female,Accounting Assistant II,IT,High Net Worth,Ambur Symcoxe,6
121,25,50,2017-12-04,0.0,Approved,Giant Bicycles,Road,Medium,High,1538.99,957 Veith Junction,2047.0,New South Wales,Australia,Male,Account Executive,Manufacturing,Mass Customer,Whitby Schapero,12
122,24,1038,2017-12-01,1.0,Approved,Solex,Road,Medium,large,1777.8,85 Laurel Trail,3809.0,Victoria,Australia,Unknown,Engineer I,Manufacturing,Mass Customer,Fraser Acome,12
123,31,1453,2017-03-05,1.0,Approved,WeareA2B,Standard,Medium,High,752.64,58516 Tony Plaza,2567.0,New South Wales,Australia,Male,Computer Systems Analyst I,Health,High Net Worth,Ahmed ,3
124,98,1339,2017-03-21,0.0,Approved,OHM Cycles,Standard,Medium,High,795.34,8766 Onsgard Plaza,3805.0,Victoria,Australia,Female,Editor,IT,High Net Worth,Mariam Guiel,3
125,22,3382,2017-01-03,1.0,Approved,Solex,Standard,Medium,High,575.27,40 Sauthoff Circle,3129.0,Victoria,Australia,Male,Business Systems Development Analyst,Unknown,High Net Worth,Burk Walczak,1
126,53,773,2017-04-01,0.0,Approved,OHM Cycles,Standard,Medium,High,795.34,88 Bay Drive,4305.0,Queensland,Australia,Male,Unknown,Financial Services,Affluent Customer,Robbie Handaside,4
127,84,2503,2017-03-16,1.0,Approved,Trek Bicycles,Road,Medium,High,290.62,62 Doe Crossing Junction,2760.0,New South Wales,Australia,Male,Budget/Accounting Analyst I,Health,Affluent Customer,Devlin Laneham,3
128,25,1057,2017-02-26,0.0,Approved,Giant Bicycles,Road,Medium,High,1538.99,7 Main Crossing,2065.0,New South Wales,Australia,Female,Registered Nurse,Health,Mass Customer,Laryssa Durdle,2
129,50,1397,2017-06-05,0.0,Approved,WeareA2B,Standard,Medium,small,175.89,79206 Independence Drive,3061.0,Victoria,Australia,Male,Legal Assistant,Manufacturing,Mass Customer,Dimitri Durie,6
130,44,2134,2017-09-04,0.0,Approved,WeareA2B,Standard,Medium,High,1769.64,654 Kim Parkway,3175.0,Victoria,Australia,Male,Nurse,Manufacturing,Affluent Customer,Crosby Ruoff,9
131,96,2403,2017-01-18,1.0,Approved,WeareA2B,Road,Low,small,1172.78,544 Northland Place,2190.0,New South Wales,Australia,Female,Technical Writer,Financial Services,Affluent Customer,Karalee Tremlett,1
132,12,1937,2017-09-28,0.0,Approved,WeareA2B,Standard,Medium,High,1231.15,698 Old Gate Lane,2619.0,New South Wales,Australia,Male,Quality Engineer,Health,Mass Customer,Renaud Gahagan,9
133,93,1282,2017-09-02,1.0,Approved,WeareA2B,Standard,Medium,High,1065.03,791 Elgar Trail,4340.0,Queensland,Australia,Male,Programmer Analyst III,Entertainment,Affluent Customer,Garald Pidler,9
134,78,2183,2017-05-09,0.0,Approved,Giant Bicycles,Standard,Medium,large,1765.3,8142 Tomscot Drive,4132.0,Queensland,Australia,Female,Programmer Analyst IV,Manufacturing,Mass Customer,Jillie Fyndon,5
135,84,1788,2017-10-17,0.0,Approved,Giant Bicycles,Road,Medium,High,792.9,67 Hooker Place,2380.0,New South Wales,Australia,Female,Account Representative IV,Financial Services,High Net Worth,Anna-diana Kurten,10
136,65,1170,2017-04-25,1.0,Approved,WeareA2B,Standard,Medium,High,1807.45,378 Prentice Point,4064.0,Queensland,Australia,Female,Assistant Professor,IT,Mass Customer,Lari Rotte,4
